grant_title,grant_type,value,currency,funder,start_date,end_date
Young People's Attitudes to Disability,Grant,40000,GBP,Disability Research on Independent Living & Learning (DRILL),2018-04-01,2020-01-01
Inclusive Education and Co-Production,Contract,4000,GBP,European Association of Service Providers for Persons with Disabilities,2018-12-01,2019-06-01
